class,class_name,precision,recall,f1,support
0,normal,0.9566279780085523,0.9067747539085119,0.9310344827586209,1727
1,dos,0.7724358974358975,0.9060150375939849,0.8339100346020761,266
2,spoof,0.9272727272727272,0.884393063583815,0.9053254437869823,173
3,fdi,0.506578947368421,0.8415300546448088,0.6324435318275154,183
4,stopped_conv,0.9572649572649573,0.6021505376344086,0.7392739273927393,186
