threshold,precision,recall,f1
1.5746162414550786,0.6094674556213018,0.38242574257425743,0.4699619771863118
1.593461004399046,0.6047904191616766,0.375,0.46294881588999237
1.6011219602114037,0.6060606060606061,0.3712871287128713,0.4604758250191865
1.611937194869488,0.6065573770491803,0.36633663366336633,0.4567901234567901
1.6324997726392145,0.6037344398340249,0.36014851485148514,0.4511627906976744
1.6468312690076974,0.5978947368421053,0.35148514851485146,0.4427123928293063
1.672458392855488,0.5927505330490405,0.34405940594059403,0.43539545810493346
1.687761592065233,0.5896328293736501,0.3378712871287129,0.4295830055074744
1.7149697767088685,0.5855263157894737,0.33044554455445546,0.4224683544303797
1.730314199673981,0.5822222222222222,0.32425742574257427,0.4165341812400636
1.754534670129609,0.582392776523702,0.3193069306930693,0.41247002398081534
1.7834640115393872,0.5789473684210527,0.3131188118811881,0.40642570281124496
1.798868161986146,0.5730858468677494,0.3056930693069307,0.3987086359967716
1.8111904705657245,0.5660377358490566,0.297029702970297,0.38961038961038963
1.8351411987618558,0.5669856459330144,0.2933168316831683,0.3866231647634584
1.850081314618076,0.5679611650485437,0.2896039603960396,0.3836065573770492
1.8655100643664981,0.562962962962963,0.28217821782178215,0.3759274525968673
1.8871123197501218,0.5639097744360902,0.2784653465346535,0.3728251864125932
1.9045092061501516,0.5663265306122449,0.2747524752475248,0.37
1.9076917588258093,0.5595854922279793,0.26732673267326734,0.36180904522613067
1.913683498901657,0.5526315789473685,0.2599009900990099,0.35353535353535354
1.92808094819588,0.546916890080429,0.2524752475247525,0.3454699407281964
1.9375487789443775,0.5395095367847411,0.24504950495049505,0.33702127659574466
1.9666822406430788,0.5361111111111111,0.23886138613861385,0.3304794520547945
1.9782497987867913,0.5338983050847458,0.23391089108910892,0.3253012048192771
2.002344269993939,0.5344827586206896,0.2301980198019802,0.3217993079584775
2.0164791592585893,0.5278592375366569,0.22277227722772278,0.3133159268929504
2.0280336667616155,0.5313432835820896,0.2202970297029703,0.3114610673665792
2.0431509075164795,0.5258358662613982,0.2141089108910891,0.3043095866314864
2.0582576326539246,0.531055900621118,0.21163366336633663,0.30265486725663715
2.0715955737874476,0.5348101265822784,0.20915841584158415,0.30071174377224197
2.0990779342108135,0.5372168284789643,0.20544554455445543,0.297224709042077
2.1233367651685886,0.528052805280528,0.19801980198019803,0.28802880288028804
2.160229671568811,0.531986531986532,0.19554455445544555,0.285972850678733
2.19607443780537,0.5310344827586206,0.1905940594059406,0.28051001821493626
2.2202633190456824,0.5316901408450704,0.18688118811881188,0.2765567765567766
2.2330910835990423,0.5359712230215827,0.1844059405940594,0.27440147329650094
2.255873347391056,0.5276752767527675,0.17698019801980197,0.26506024096385544
2.3004315751956983,0.5283018867924528,0.17326732673267325,0.26095060577819196
2.320225851547869,0.5271317829457365,0.16831683168316833,0.2551594746716698
2.3517183206051206,0.5277777777777778,0.1646039603960396,0.2509433962264151
2.365016810767259,0.5365853658536586,0.16336633663366337,0.2504743833017078
2.37569373425351,0.5397489539748954,0.15965346534653466,0.24641833810888253
2.4068109601902057,0.5321888412017167,0.15346534653465346,0.23823246878001922
2.4225405915900127,0.5353982300884956,0.14975247524752475,0.23404255319148937
2.4611352422267574,0.5363636363636364,0.14603960396039603,0.22957198443579765
2.496552893542036,0.5420560747663551,0.14356435643564355,0.22700587084148727
2.5259728743637657,0.5314009661835749,0.13613861386138615,0.21674876847290642
2.5559582097983125,0.5422885572139303,0.1349009900990099,0.21605550049554015
2.602504824330536,0.5282051282051282,0.12747524752475248,0.2053838484546361
2.651029018812543,0.5319148936170213,0.12376237623762376,0.20080321285140562
2.6909259434108495,0.5274725274725275,0.1188118811881188,0.19393939393939394
2.7429884422881696,0.5371428571428571,0.11633663366336634,0.19125127161749747
2.766159340200545,0.5443786982248521,0.11386138613861387,0.18833162743091095
2.8209279025234744,0.5521472392638037,0.11138613861386139,0.18537590113285274
2.876636883337286,0.5576923076923077,0.10767326732673267,0.18049792531120332
2.9104794016005116,0.56,0.10396039603960396,0.17536534446764093
2.9168756263889843,0.5384615384615384,0.0952970297029703,0.1619348054679285
2.9268274511626995,0.5255474452554745,0.0891089108910891,0.1523809523809524
2.940255282878876,0.5114503816793893,0.08292079207920793,0.14270500532481364
2.957052927017212,0.5161290322580645,0.07920792079207921,0.13733905579399142
2.997463908539543,0.5338983050847458,0.07797029702970297,0.13606911447084233
3.0740692075415494,0.5535714285714286,0.07673267326732673,0.13478260869565217
3.1603024405648417,0.580952380952381,0.07549504950495049,0.13362541073384446
3.2780335688530573,0.6161616161616161,0.07549504950495049,0.1345093715545755
3.441149844489517,0.6521739130434783,0.07425742574257425,0.13333333333333333
3.817547312241582,0.686046511627907,0.07301980198019802,0.1319910514541387
3.9334859742393977,0.675,0.06683168316831684,0.12162162162162163
3.971706067459494,0.7123287671232876,0.06435643564356436,0.11804767309875142
4.048082769973369,0.7313432835820896,0.06064356435643564,0.112
4.1442374627801435,0.7666666666666667,0.05693069306930693,0.10599078341013825
4.195543857526174,0.7962962962962963,0.053217821782178217,0.09976798143851508
4.300293034758742,0.7708333333333334,0.04579207920792079,0.08644859813084112
4.364045981286444,0.8048780487804879,0.04084158415841584,0.07773851590106007
4.56867697694029,0.8571428571428571,0.03712871287128713,0.0711743772241993
4.742020730730823,0.8620689655172413,0.03094059405940594,0.05973715651135006
44.308938444885975,0.9545454545454546,0.02599009900990099,0.05060240963855422
46.028089346390736,0.9375,0.018564356435643563,0.03640776699029126
53.778458768434135,1.0,0.011138613861386138,0.022031823745410038
56.20829160308837,1.0,0.0037128712871287127,0.007398273736128237
